index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/24 18:40:58.829, 126.81 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:41:08.844, 136.64 W, 1815 MHz, 3802 MHz, 1815 MHz
0, 2022/03/24 18:41:18.860, 139.51 W, 1835 MHz, 3802 MHz, 1835 MHz
0, 2022/03/24 18:41:28.866, 129.04 W, 1827 MHz, 3802 MHz, 1827 MHz
0, 2022/03/24 18:41:38.881, 134.71 W, 1832 MHz, 3802 MHz, 1832 MHz
0, 2022/03/24 18:41:48.900, 140.14 W, 1834 MHz, 3802 MHz, 1834 MHz
0, 2022/03/24 18:41:58.905, 127.10 W, 1833 MHz, 3802 MHz, 1833 MHz
0, 2022/03/24 18:42:08.922, 131.04 W, 1832 MHz, 3802 MHz, 1832 MHz
0, 2022/03/24 18:42:18.928, 109.79 W, 1828 MHz, 3802 MHz, 1828 MHz
0, 2022/03/24 18:42:28.946, 128.47 W, 1830 MHz, 3802 MHz, 1830 MHz
0, 2022/03/24 18:42:38.962, 77.72 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:42:48.967, 112.41 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:42:58.977, 119.17 W, 1816 MHz, 3802 MHz, 1816 MHz
0, 2022/03/24 18:43:08.984, 130.78 W, 1826 MHz, 3802 MHz, 1826 MHz
0, 2022/03/24 18:43:18.994, 103.10 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:43:29.007, 139.62 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:43:39.018, 111.78 W, 1828 MHz, 3802 MHz, 1828 MHz
0, 2022/03/24 18:43:49.024, 77.68 W, 1841 MHz, 3802 MHz, 1841 MHz
0, 2022/03/24 18:43:59.030, 122.91 W, 1840 MHz, 3802 MHz, 1840 MHz
0, 2022/03/24 18:44:09.044, 137.73 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:44:19.063, 145.36 W, 1831 MHz, 3802 MHz, 1831 MHz
0, 2022/03/24 18:44:29.079, 132.37 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:44:39.083, 125.57 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:44:49.089, 131.35 W, 1828 MHz, 3802 MHz, 1828 MHz
0, 2022/03/24 18:44:59.093, 117.92 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:45:09.108, 141.77 W, 1838 MHz, 3802 MHz, 1838 MHz
0, 2022/03/24 18:45:19.123, 132.79 W, 1842 MHz, 3802 MHz, 1842 MHz
0, 2022/03/24 18:45:29.138, 125.51 W, 1829 MHz, 3802 MHz, 1829 MHz
0, 2022/03/24 18:45:39.159, 126.96 W, 1834 MHz, 3802 MHz, 1834 MHz
0, 2022/03/24 18:45:49.173, 56.35 W, 1842 MHz, 3802 MHz, 1842 MHz
0, 2022/03/24 18:45:59.179, 113.51 W, 1852 MHz, 3802 MHz, 1852 MHz
0, 2022/03/24 18:46:09.185, 110.61 W, 1842 MHz, 3802 MHz, 1842 MHz
0, 2022/03/24 18:46:19.203, 123.81 W, 1833 MHz, 3802 MHz, 1833 MHz
0, 2022/03/24 18:46:29.226, 113.21 W, 1828 MHz, 3802 MHz, 1828 MHz
